category_id,item_name,item_rating
3,"Samsung QN43LS03T 43"" The Frame QLED 4K UHD Smart TV",3
3,"LG 24"" Class 720p 60Hz LED HDTV - 24LF454B",4
3,"VIZIO D-Series 40"" Class (39.50"" Diag.) 1080p Full-Array LED Smart HDTV - D40f-G9",5
3,Apple AirPods Pro,2
3,Bose QuietComfort 35 Wireless Headphones II,4
3,Bose SoundSport Free True Wireless Earbuds,5
3,New Powerbeats Wireless Earphones,3
3,PlayStation 4 1TB Console,2
3,NBA 2K21: Mamba Forever Edition - PlayStation 4,1
3,Call of Duty: Modern Warfare - PlayStation 4,3
3,Cyberpunk 2077 - PlayStation 4,5
3,Marvel's Avengers - PlayStation 4,3
3,"LG 27GN750-B 27 UltraGear 16:9 240Hz Full HD IPS Gaming Monitor with NVIDIA G-Sync Compatible & Adaptive-Sync, HDR 10",2
3,"HP 27"" LED Computer Monitor (X3W26AA_ABA)",5
3,"HP 24"" LED Computer Monitor (1LU21AA_ABA)",2
3,Thermaltake Riing Plus 14 RGB Software Enabled 140mm Case Fan,3
3,Thermaltake Matrix Magnetic Fan Filter,1
3,TCL ALTO 5+ 2.1 Channel Sound Bar,3
3,Amazon Fire TV Stick with 4K Ultra HD Streaming Media Player and Alexa Voice Remote (2nd Generation),4
3,Roku Streaming Stick+ Black (3810R),5